,mvk_hda_yield,vmin_vmin_boltz,vmin_r_boltz,fmo_e_homo_boltz,fmo_e_lumo_boltz,fmo_mu_boltz,fmo_eta_boltz,fmo_omega_boltz,somo_ra_boltz,somo_rc_boltz,nbo_P_boltz,nbo_P_ra_boltz,spindens_P_ra_boltz,nbo_P_rc_boltz,spindens_P_rc_boltz,nmr_P_boltz,nmrtens_sxx_P_boltz,nmrtens_syy_P_boltz,nmrtens_szz_P_boltz,efg_amp_P_boltz,efgtens_xx_P_boltz,efgtens_yy_P_boltz,efgtens_zz_P_boltz,nuesp_P_boltz,E_solv_cds_boltz,nbo_lp_P_percent_s_boltz,nbo_lp_P_occ_boltz,nbo_lp_P_e_boltz,nbo_bd_e_max_boltz,nbo_bd_e_avg_boltz,nbo_bds_e_min_boltz,nbo_bds_e_avg_boltz,nbo_bd_occ_min_boltz,nbo_bd_occ_avg_boltz,nbo_bds_occ_max_boltz,nbo_bds_occ_avg_boltz,E_solv_total_boltz,E_solv_elstat_boltz,E_oxidation_boltz,E_reduction_boltz,fukui_p_boltz,fukui_m_boltz,vbur_vtot_boltz,vbur_ratio_vbur_vtot_boltz,Pint_P_int_boltz,Pint_dP_boltz,Pint_P_min_boltz,Pint_P_max_boltz,volume_boltz,surface_area_boltz,sphericity_boltz,dipolemoment_boltz,dipolemoment_min,dipolemoment_max,dipolemoment_delta,dipolemoment_vburminconf,qpole_amp_boltz,qpole_amp_min,qpole_amp_max,qpole_amp_delta,qpole_amp_vburminconf,qpoletens_xx_boltz,qpoletens_xx_min,qpoletens_xx_max,qpoletens_xx_delta,qpoletens_xx_vburminconf,qpoletens_yy_boltz,qpoletens_yy_min,qpoletens_yy_max,qpoletens_yy_delta,qpoletens_yy_vburminconf,qpoletens_zz_boltz,qpoletens_zz_min,qpoletens_zz_max,qpoletens_zz_delta,qpoletens_zz_vburminconf,pyr_P_boltz,pyr_P_min,pyr_P_max,pyr_P_delta,pyr_P_vburminconf,pyr_alpha_boltz,pyr_alpha_min,pyr_alpha_max,pyr_alpha_delta,pyr_alpha_vburminconf,vbur_vbur_boltz,vbur_vbur_min,vbur_vbur_max,vbur_vbur_delta,vbur_vbur_vburminconf,vbur_qvbur_min_boltz,vbur_qvbur_min_min,vbur_qvbur_min_max,vbur_qvbur_min_delta,vbur_qvbur_min_vburminconf,vbur_qvbur_max_boltz,vbur_qvbur_max_min,vbur_qvbur_max_max,vbur_qvbur_max_delta,vbur_qvbur_max_vburminconf,vbur_qvtot_min_boltz,vbur_qvtot_min_min,vbur_qvtot_min_max,vbur_qvtot_min_delta,vbur_qvtot_min_vburminconf,vbur_qvtot_max_boltz,vbur_qvtot_max_min,vbur_qvtot_max_max,vbur_qvtot_max_delta,vbur_qvtot_max_vburminconf,vbur_max_delta_qvbur_boltz,vbur_max_delta_qvbur_min,vbur_max_delta_qvbur_max,vbur_max_delta_qvbur_delta,vbur_max_delta_qvbur_vburminconf,vbur_max_delta_qvtot_boltz,vbur_max_delta_qvtot_min,vbur_max_delta_qvtot_max,vbur_max_delta_qvtot_delta,vbur_max_delta_qvtot_vburminconf,vbur_ovbur_min_boltz,vbur_ovbur_min_min,vbur_ovbur_min_max,vbur_ovbur_min_delta,vbur_ovbur_min_vburminconf,vbur_ovbur_max_boltz,vbur_ovbur_max_min,vbur_ovbur_max_max,vbur_ovbur_max_delta,vbur_ovbur_max_vburminconf,vbur_ovtot_min_boltz,vbur_ovtot_min_min,vbur_ovtot_min_max,vbur_ovtot_min_delta,vbur_ovtot_min_vburminconf,vbur_ovtot_max_boltz,vbur_ovtot_max_min,vbur_ovtot_max_max,vbur_ovtot_max_delta,vbur_ovtot_max_vburminconf,vbur_near_vbur_boltz,vbur_near_vbur_min,vbur_near_vbur_max,vbur_near_vbur_delta,vbur_near_vbur_vburminconf,vbur_far_vbur_boltz,vbur_far_vbur_min,vbur_far_vbur_max,vbur_far_vbur_delta,vbur_far_vbur_vburminconf,vbur_near_vtot_boltz,vbur_near_vtot_min,vbur_near_vtot_max,vbur_near_vtot_delta,vbur_near_vtot_vburminconf,vbur_far_vtot_boltz,vbur_far_vtot_min,vbur_far_vtot_max,vbur_far_vtot_delta,vbur_far_vtot_vburminconf,sterimol_B1_boltz,sterimol_B1_min,sterimol_B1_max,sterimol_B1_delta,sterimol_B1_vburminconf,sterimol_B5_boltz,sterimol_B5_min,sterimol_B5_max,sterimol_B5_delta,sterimol_B5_vburminconf,sterimol_L_boltz,sterimol_L_min,sterimol_L_max,sterimol_L_delta,sterimol_L_vburminconf,sterimol_burB1_boltz,sterimol_burB1_min,sterimol_burB1_max,sterimol_burB1_delta,sterimol_burB1_vburminconf,sterimol_burB5_boltz,sterimol_burB5_min,sterimol_burB5_max,sterimol_burB5_delta,sterimol_burB5_vburminconf,sterimol_burL_boltz,sterimol_burL_min,sterimol_burL_max,sterimol_burL_delta,sterimol_burL_vburminconf
1,19,-0.061653832,1.819048482,-0.218243366,-0.025112319,-0.121677842,0.193131047,0.03833597,0.059115319,-0.363711578,0.801913877,0.762848685,0.039934438,1.16565782,0.466770835,306.7602335,286.0477335,304.9629317,329.2700282,1.750654742,-0.824412029,-0.599056362,1.42346838,-54.19681131,-11.7800896,51.27024712,1.927054025,-0.300539214,-0.439428738,-0.448304251,0.203063797,0.213486864,1.947840386,1.953640612,0.03943933,0.034855828,-18.90894535,-7.128855756,0.260081699,0.017364495,0.039065191,0.363743943,560.3636918,0.188389593,20.67366182,5.018495509,12.78666587,42.08441375,687.0055722,534.2836334,0.704737109,1.258121923,0.968893635,1.512403854,0.543510219,1.358751213,4.457962031,3.208771286,6.865921008,3.657149722,5.925214444,3.470276292,2.596043347,4.872843601,2.276800254,4.206576524,-0.794078773,-1.424726374,0.709004155,2.13373053,-0.033839406,-2.676197519,-4.913980006,-1.603841378,3.310138629,-4.172737118,0.925709479,0.841070382,0.952596145,0.111525763,0.899423076,18.81426145,14.92194508,27.88326723,12.96132215,22.14482622,105.5662868,56.45688734,127.9308737,71.47398637,56.45688734,14.13080251,9.989435355,18.90681844,8.917383084,10.86171984,41.2246802,16.52110992,44.21457336,27.69346344,17.40280755,69.46095831,46.82520534,86.56481345,39.73960811,64.28855956,237.9750003,210.8265026,267.6567497,56.83024717,257.1278963,23.52661595,2.762234192,26.82222486,24.05999067,6.541087709,137.5649393,109.3362163,201.979947,92.64373065,175.1233574,0.000662203,0,1.894133329,1.894133329,0,22.25250785,16.52110992,22.42314989,5.902039965,17.40280755,0.024899919,0,1.886762024,1.886762024,0,147.5000192,137.745785,253.5139824,115.7681974,253.5139824,70.69021306,56.45688734,79.67492477,23.21803742,56.45688734,34.87607373,0,48.25594895,48.25594895,0,418.6308424,398.155797,559.5005286,161.3447316,555.1293917,141.2808688,0,157.8201028,157.8201028,3.614927042,4.903718573,4.07060669,5.013689181,0.943082491,4.442682872,7.527389674,6.842619058,9.844823092,3.002204034,9.470359534,7.743234968,7.450735346,12.1316552,4.680919857,9.84520341,4.800335896,4.07060669,5.013689181,0.943082491,4.211190949,7.439480407,6.306577359,7.835474137,1.528896778,7.262693329,7.29157262,7.106518999,8.238802291,1.132283292,7.735548217
6,1,-0.0712438,1.780166116,-0.20994,0.01642,-0.09676,0.22636,0.020680548,0.08304,-0.38878,0.8049,0.7816,0.03121,1.42106,0.79423,230.2584,186.0104,186.1169,318.6477,1.734478804,-0.708263,-0.707933,1.416196,-54.201192,-11.65,47.41,1.92158,-0.27626,-0.42692,-0.426956667,0.19322,0.19328,1.94792,1.94793,0.04437,0.044363333,-15.59436334,-3.944363341,0.2573568,0.0499205,0.0233,0.61616,461.7349873,0.142245393,20.69,3.78,14.41,29.64,573.85453,420.07279,0.794988,1.146388772,1.146388772,1.146388772,0,1.146388772,3.481168393,3.481168393,3.481168393,0,3.481168393,1.421997417,1.421997417,1.421997417,0,1.421997417,1.420364517,1.420364517,1.420364517,0,1.420364517,-2.842361934,-2.842361934,-2.842361934,0,-2.842361934,0.821772077,0.821772077,0.821772077,0,0.821772077,30.51062291,30.51062291,30.51062291,0,30.51062291,65.67967459,65.67967459,65.67967459,0,65.67967459,15.28380472,15.28380472,15.28380472,0,15.28380472,17.33586965,17.33586965,17.33586965,0,17.33586965,98.4532661,98.4532661,98.4532661,0,98.4532661,133.1277768,133.1277768,133.1277768,0,133.1277768,1.445440232,1.445440232,1.445440232,0,1.445440232,33.6958677,33.6958677,33.6958677,0,33.6958677,0,0,0,0,0,17.33586965,17.33586965,17.33586965,0,17.33586965,0,0,0,0,0,133.1277768,133.1277768,133.1277768,0,133.1277768,65.67967459,65.67967459,65.67967459,0,65.67967459,0,0,0,0,0,462.5928659,462.5928659,462.5928659,0,462.5928659,0,0,0,0,0,5.230007913,5.230007913,5.230007913,0,5.230007913,6.902411037,6.902411037,6.902411037,0,6.902411037,7.400359315,7.400359315,7.400359315,0,7.400359315,5.218561374,5.218561374,5.218561374,0,5.218561374,6.443563831,6.443563831,6.443563831,0,6.443563831,6.952512587,6.952512587,6.952512587,0,6.952512587
11,9,-0.066834594,1.796641815,-0.220135327,0.03206723,-0.094034048,0.252202556,0.01753101,0.104343817,-0.423064979,0.77489329,0.744186754,0.024801478,1.368913643,0.774626765,283.1648383,250.9577587,274.5915589,323.9451941,1.681047798,-0.70391507,-0.668491782,1.372407655,-54.20330909,-8.661276678,50.84512678,1.942302944,-0.298768321,-0.437118827,-0.439193977,0.200299413,0.20441219,1.957711516,1.95916407,0.03441711,0.032226394,-12.13079758,-3.469520903,0.274773748,0.068652735,0.030706537,0.594020353,325.6411964,0.176634207,18.8658524,3.698527054,12.5813276,32.65404709,412.8986786,343.9843711,0.779557492,1.280456867,1.162567852,1.306525133,0.143957281,1.278652514,3.451551829,2.475751307,4.044920851,1.569169544,3.624459435,1.633474284,1.126083395,1.884797943,0.758714548,1.654635341,1.171118511,0.705889387,1.406291064,0.700401677,1.297532798,-2.804592795,-3.291089006,-2.003090711,1.287998295,-2.952168139,0.913126635,0.85753477,0.937359658,0.079824888,0.896857363,20.52626655,17.31947563,26.84048593,9.521010304,22.40527955,57.51884174,54.244799,71.52837342,17.28357442,54.244799,11.64839198,9.958058215,13.65428526,3.696227049,11.77688641,17.11585673,15.24092263,26.38608262,11.14516,15.90820979,56.96546902,42.74356882,69.5216621,26.77809328,59.09717476,100.6167848,93.46377101,103.0603578,9.596586794,100.2219114,4.465027117,1.484138705,12.88554534,11.40140664,3.652299053,35.08354023,21.02238945,59.29136994,38.26898048,37.89482172,0,0,0,0,0,16.82013244,15.24092263,21.53099322,6.290070592,15.90820979,0,0,0,0,0,100.6167848,93.46377101,103.0603578,9.596586794,100.2219114,57.18811018,54.244799,66.47142441,12.22662541,54.244799,0.330731554,0,5.380133543,5.380133543,0,324.8923539,313.124494,326.0564737,12.93197973,325.7120621,0.723599952,0,11.59342437,11.59342437,0,4.382608863,3.845267598,5.013362154,1.168094555,4.45002516,6.777848836,6.487822679,6.850781327,0.362958648,6.727667017,7.722115699,6.570864034,7.912771865,1.341907832,7.527091159,4.295497636,3.845267598,4.742704749,0.897437151,4.45002516,6.383627483,6.090231872,6.464182229,0.373950357,6.35604623,7.242139854,6.166026645,7.428161743,1.262135098,7.055395571
16,65,-0.0220091,1.900156495,-0.26032,-0.06878,-0.16455,0.19154,0.070681587,0.01742,-0.42338,0.81171,0.76683,0.02968,1.17969,0.47788,296.4885,284.7981,284.9003,319.767,1.796606517,-0.733877,-0.733046,1.466923,-54.146121,-4.07,49.76,1.89612,-0.33802,-0.50859,-0.508596667,0.19365,0.1937,1.95232,1.95235,0.03602,0.036006667,-13.43635827,-9.366358274,0.3066759,-0.0254115,0.04488,0.36798,433.1326886,0.116769786,18.45,5.43,10.02,36.15,457.42509,409.67823,0.70079,2.108337436,2.108337436,2.108337436,0,2.108337436,15.15750022,15.15750022,15.15750022,0,15.15750022,12.35034051,12.35034051,12.35034051,0,12.35034051,-5.484718533,-5.484718533,-5.484718533,0,-5.484718533,-6.865621972,-6.865621972,-6.865621972,0,-6.865621972,0.933230207,0.933230207,0.933230207,0,0.933230207,17.91382165,17.91382165,17.91382165,0,17.91382165,50.57681138,50.57681138,50.57681138,0,50.57681138,11.47148225,11.47148225,11.47148225,0,11.47148225,13.86032848,13.86032848,13.86032848,0,13.86032848,78.50172035,78.50172035,78.50172035,0,78.50172035,131.325881,131.325881,131.325881,0,131.325881,1.351308814,1.351308814,1.351308814,0,1.351308814,52.79360792,52.79360792,52.79360792,0,52.79360792,0,0,0,0,0,13.86032848,13.86032848,13.86032848,0,13.86032848,0,0,0,0,0,131.325881,131.325881,131.325881,0,131.325881,50.57681138,50.57681138,50.57681138,0,50.57681138,0,0,0,0,0,433.0335704,433.0335704,433.0335704,0,433.0335704,0,0,0,0,0,5.310137862,5.310137862,5.310137862,0,5.310137862,8.060535598,8.060535598,8.060535598,0,8.060535598,7.99380789,7.99380789,7.99380789,0,7.99380789,4.290043071,4.290043071,4.290043071,0,4.290043071,6.027593658,6.027593658,6.027593658,0,6.027593658,6.903372495,6.903372495,6.903372495,0,6.903372495
17,97,-0.0482304,1.860160207,-0.22839,-0.02949,-0.12894,0.1989,0.041793674,0.06051,-0.39438,0.79827,0.74625,0.04402,1.15315,0.45545,296.1527,284.3266,284.4367,319.6948,1.783838048,-0.72827,-0.728227,1.456498,-54.177169,-7.18,49.37,1.90175,-0.30781,-0.47689,-0.476896667,0.22426,0.224266667,1.95295,1.95295,0.03714,0.037103333,-13.92098384,-6.740983837,0.2765862,0.0158004,0.05202,0.35488,302.7159072,0.167446513,19.45,3.92,13.27,34.77,344.20752,307.53512,0.77233,1.460510726,1.460510726,1.460510726,0,1.460510726,4.561356291,4.561356291,4.561356291,0,4.561356291,1.882705291,1.882705291,1.882705291,0,1.882705291,1.841550763,1.841550763,1.841550763,0,1.841550763,-3.724256054,-3.724256054,-3.724256054,0,-3.724256054,0.932082024,0.932082024,0.932082024,0,0.932082024,18.07622581,18.07622581,18.07622581,0,18.07622581,50.68872317,50.68872317,50.68872317,0,50.68872317,11.48926263,11.48926263,11.48926263,0,11.48926263,13.88438429,13.88438429,13.88438429,0,13.88438429,61.42008783,61.42008783,61.42008783,0,61.42008783,86.83775327,86.83775327,86.83775327,0,86.83775327,1.337712053,1.337712053,1.337712053,0,1.337712053,25.41766543,25.41766543,25.41766543,0,25.41766543,0,0,0,0,0,13.88438429,13.88438429,13.88438429,0,13.88438429,0,0,0,0,0,86.83775327,86.83775327,86.83775327,0,86.83775327,50.68872317,50.68872317,50.68872317,0,50.68872317,0,0,0,0,0,302.7159072,302.7159072,302.7159072,0,302.7159072,0,0,0,0,0,4.287868079,4.287868079,4.287868079,0,4.287868079,6.323592295,6.323592295,6.323592295,0,6.323592295,7.181925015,7.181925015,7.181925015,0,7.181925015,4.278755456,4.278755456,4.278755456,0,4.278755456,6.029300445,6.029300445,6.029300445,0,6.029300445,6.914110295,6.914110295,6.914110295,0,6.914110295
21,0,-0.062157458,1.826695808,-0.230615103,0.036187804,-0.09721365,0.266802907,0.017713373,0.128594504,-0.495212503,0.732884024,0.603527305,0.187182779,1.331120244,0.790572495,315.6998514,298.0305157,313.8003366,335.2687861,1.69009076,-0.695169915,-0.684754769,1.379924682,-54.19777261,-2.201650962,53.79206977,1.95376289,-0.317891961,-0.450245527,-0.450454297,0.200551486,0.201753861,1.969418655,1.970052166,0.027816784,0.026284174,-5.008722182,-2.80707122,0.298367866,0.082910438,0.129356719,0.59823622,151.6454891,0.314514032,16.24898608,3.06496945,11.38629328,26.42063314,193.1211225,189.4594703,0.852904772,1.279253038,1.260425958,1.335250168,0.074824209,1.335250168,2.653686938,2.333564803,3.899440923,1.56587612,3.899440923,1.200946474,0.955873718,1.779973816,0.824100097,1.76662627,0.957207251,0.684156873,1.410612206,0.726455334,1.410612206,-2.158153725,-3.177238476,-1.882113947,1.295124529,-3.177238476,0.951508365,0.919633776,0.957432681,0.037798906,0.92109431,15.08487935,14.14287605,19.75071279,5.607836738,19.57036577,47.69626725,43.82863455,49.58215605,5.753521504,43.82863455,10.47172461,9.635919582,11.24347504,1.607555454,9.794897089,13.40688539,12.72029241,14.93028894,2.209996535,13.44092071,27.67903988,22.29004866,31.51210228,9.222053611,28.13325089,44.63557389,44.23055204,46.18495171,1.954399668,44.82517405,2.500848474,1.392099095,5.213834703,3.821735607,3.629289151,13.8160545,8.11975199,22.28624188,14.16648988,13.73184306,0,0,0,0,0,13.40688539,12.72029241,14.93028894,2.209996535,13.44092071,0,0,0,0,0,44.63557389,44.23055204,46.18495171,1.954399668,44.82517405,47.69626725,43.82863455,49.58215605,5.753521504,43.82863455,0,0,0,0,0,150.9730276,149.4491828,152.8046924,3.355509573,149.8243927,0,0,0,0,0,3.198165116,2.973777114,3.397559601,0.423782487,2.985816975,4.82141752,4.78785632,4.889759727,0.101903407,4.821202198,6.137610207,5.759324075,6.79753254,1.038208465,6.744437235,3.198165116,2.973777114,3.397559601,0.423782487,2.985816975,4.82141752,4.78785632,4.889759727,0.101903407,4.821202198,6.137610207,5.759324075,6.79753254,1.038208465,6.744437235
30,1,-0.067773247,1.782725937,-0.216838972,0.033656057,-0.091591457,0.250495029,0.016744957,0.11025774,-0.431334326,0.770485769,0.750168609,0.025736961,1.39987253,0.806980542,241.7788574,207.1507421,225.2080381,292.9777924,1.733973841,-0.718291069,-0.697440576,1.415732587,-54.20056022,-5.115629721,49.33849468,1.932417902,-0.29040992,-0.431535718,-0.43656051,0.184769515,0.191237797,1.943123105,1.949636648,0.054158098,0.046773957,-8.721618784,-3.605989063,0.27273318,0.072241814,0.02031716,0.629386761,277.7563395,0.230425566,18.13179133,3.067422281,12.70093206,31.15056375,350.5435447,284.5384425,0.844965034,1.136436628,1.12692255,1.189465179,0.062542629,1.189465179,3.213320538,2.897515869,3.36818758,0.470671711,2.90878771,1.57560043,1.278512527,1.633201267,0.35468874,1.444361849,1.028662018,0.91057353,1.189805518,0.279231989,0.91057353,-2.604262448,-2.736944262,-2.354935379,0.382008883,-2.354935379,0.843092138,0.83297565,0.874640158,0.041664508,0.874640158,28.21776047,24.8571019,29.34153153,4.484429636,24.8571019,64.00221492,61.55776434,64.27293283,2.715168483,61.55776434,14.09328868,11.96096563,14.29856253,2.337596903,13.54864889,18.27796944,17.52204068,18.39746287,0.875422196,17.52204068,51.26395037,50.43987593,54.44485157,4.004975641,53.45718372,103.1009635,92.15024203,103.9509281,11.80068611,92.15024203,3.197172095,2.722489816,4.857181215,2.1346914,3.973391782,51.8334169,30.31347624,52.91292173,22.59944548,30.31347624,0,0,0,0,0,18.27796944,17.52204068,18.39746287,0.875422196,17.52204068,0,0,0,0,0,103.1009635,92.15024203,103.9509281,11.80068611,92.15024203,64.00221492,61.55776434,64.27293283,2.715168483,61.55776434,0,0,0,0,0,276.613689,276.5790586,277.7029802,1.123921598,276.9350708,0,0,0,0,0,3.984986929,3.98343868,4.077447158,0.094008478,4.077447158,6.575061096,6.495456001,6.799015471,0.303559471,6.79090402,7.488961826,6.697178538,7.496178587,0.799000049,6.707379114,3.984986929,3.98343868,4.077447158,0.094008478,4.077447158,6.20657205,6.095225516,6.450931346,0.35570583,6.423807509,7.083345334,6.697178538,7.146336491,0.449157953,6.707379114
42,4,-0.066672543,1.814522259,-0.215938504,-0.030007941,-0.122973222,0.185930563,0.040666859,0.061826009,-0.37805546,0.781708762,0.765828694,0.0204144,1.285648828,0.62379933,275.931786,246.5839595,282.6009044,298.6103738,1.846816605,-0.849851949,-0.653812507,1.503664456,-54.19677354,-6.827941024,49.92007618,1.924733834,-0.29176311,-0.431776385,-0.444563763,0.1832527,0.199656673,1.935152774,1.944672922,0.060888116,0.050614354,-13.262114,-6.434172981,0.264474631,0.016017104,0.015880067,0.503940066,354.8547495,0.275095598,19.42600838,3.79802439,13.54806688,34.88070327,423.6547295,341.7867658,0.798124467,1.002944545,1.002388091,1.407256216,0.404868125,1.380969794,4.646420667,4.5204094,5.159026889,0.638617489,4.595207133,2.408130462,2.124586585,3.16412322,1.039536635,3.16412322,1.326934307,0.164136398,1.55144913,1.387312732,0.164136398,-3.735064769,-4.023089078,-3.328259619,0.694829459,-3.328259619,0.858996205,0.757343407,0.860114341,0.102770933,0.792528823,26.52338725,26.38884471,36.29501036,9.906165649,32.94498786,97.61959082,66.52371964,99.02416088,32.50044123,66.52371964,15.42718067,14.26613949,15.51390374,1.247764253,14.26613949,42.36677862,19.0773009,42.54635544,23.46905454,19.975733,55.10220433,55.08380538,62.39105469,7.307249307,56.36803291,165.1068248,124.6353342,167.7343422,43.09900808,124.6353342,24.80543996,3.930509692,25.49810957,21.56759988,5.709593509,104.7842581,63.24279448,111.6344049,48.3916104,63.24279448,0,0,0,0,0,22.11023054,19.00094986,22.22129029,3.220340431,19.69752236,0,0,0,0,0,111.113352,109.4613945,127.0540525,17.59265804,124.6353342,72.25556729,66.2444631,72.94557422,6.701111121,66.2444631,25.36402353,0.279256543,26.07858665,25.79933011,0.279256543,290.3406954,289.4362489,355.0262245,65.58997562,349.6396813,61.42398583,0.148270982,63.42649966,63.27822868,0.148270982,3.918473602,3.80618456,4.001884221,0.195699661,4.001884221,6.326523168,6.309413263,6.786482291,0.477069028,6.710866592,7.654241668,7.638048689,10.27879649,2.640747796,9.832448217,3.918473602,3.80618456,4.001884221,0.195699661,4.001884221,6.0858687,6.083480862,6.310058583,0.226577721,6.249141954,7.19386528,7.190901212,8.274696657,1.083795445,7.434028343
61,87,-0.0376375,1.860159885,-0.23821,-0.04316,-0.140685,0.19505,0.050736399,0.04582,-0.39844,0.80574,0.78555,0.0056,1.12031,0.39734,301.0801,288.9218,289.1366,325.1818,1.804477879,-0.736877,-0.736473,1.47335,-54.164252,-5.28,49.57,1.9063,-0.32062,-0.48988,-0.489913333,0.21163,0.211683333,1.95313,1.953143333,0.03774,0.03772,-12.96924022,-7.689240224,0.2860785,0.0013777,0.02019,0.31457,328.8549334,0.154661805,19.04,4.64,10.11,34.27,357.90566,322.80442,0.755191,0.463124692,0.463124692,0.463124692,0,0.463124692,6.351720798,6.351720798,6.351720798,0,6.351720798,5.185927142,5.185927142,5.185927142,0,5.185927142,-2.55055712,-2.55055712,-2.55055712,0,-2.55055712,-2.635370021,-2.635370021,-2.635370021,0,-2.635370021,0.932953799,0.932953799,0.932953799,0,0.932953799,17.95302952,17.95302952,17.95302952,0,17.95302952,50.86129744,50.86129744,50.86129744,0,50.86129744,11.50390529,11.50390529,11.50390529,0,11.50390529,13.96491895,13.96491895,13.96491895,0,13.96491895,64.81468453,64.81468453,64.81468453,0,64.81468453,95.85096251,95.85096251,95.85096251,0,95.85096251,1.342941576,1.342941576,1.342941576,0,1.342941576,31.03627798,31.03627798,31.03627798,0,31.03627798,0,0,0,0,0,13.96491895,13.96491895,13.96491895,0,13.96491895,0,0,0,0,0,95.85096251,95.85096251,95.85096251,0,95.85096251,50.86129744,50.86129744,50.86129744,0,50.86129744,0,0,0,0,0,328.8549334,328.8549334,328.8549334,0,328.8549334,0,0,0,0,0,4.449644321,4.449644321,4.449644321,0,4.449644321,6.919859432,6.919859432,6.919859432,0,6.919859432,7.224825242,7.224825242,7.224825242,0,7.224825242,4.253705307,4.253705307,4.253705307,0,4.253705307,6.051845084,6.051845084,6.051845084,0,6.051845084,6.94342827,6.94342827,6.94342827,0,6.94342827
65,82,-0.050720465,1.83166203,-0.238602611,-0.017302804,-0.127952707,0.221299806,0.036991948,0.064181525,-0.371617124,0.79214051,0.762368572,0.047068056,1.141367135,0.466997761,299.4347148,269.8491559,287.637918,340.8171031,1.715339329,-0.713092826,-0.687187835,1.400280661,-54.18167544,-8.877155687,56.26416755,1.947701857,-0.335785211,-0.453061946,-0.454037941,0.18211532,0.183518663,1.946485091,1.94892417,0.03346508,0.031527173,-17.52631356,-8.649157875,0.287394912,0.023551802,0.029771938,0.349226625,356.5077066,0.175306792,19.46122205,3.73442084,13.18609596,33.18389218,414.7570821,362.4013936,0.742394154,0.851317377,0.756947497,1.095978098,0.339030601,0.855802255,4.76690832,3.614477723,9.677790579,6.063312857,4.560548531,3.32665107,2.951135064,4.623279973,1.672144909,3.0512471,-0.494692288,-1.457508652,3.238024595,4.695533246,0.322813574,-2.831958782,-7.861304568,-1.493626413,6.367678155,-3.374060674,0.955436571,0.926171236,0.960636353,0.034465117,0.926171236,14.41001013,13.57803205,18.88246715,5.3044351,18.88246715,62.49965675,51.1206818,66.89815351,15.77747171,51.1206818,12.44029064,9.628598249,13.77142659,4.142828336,9.741555952,19.02392478,18.07323243,23.32053608,5.247303652,19.85336215,50.78386393,22.91698764,58.17370025,35.25671261,55.49872658,118.3748575,107.3310643,161.3042636,53.9731993,128.2807228,5.6097235,3.325976801,13.07276228,9.746785475,9.811631564,62.29723003,47.70182433,131.6246608,83.92283651,47.70182433,0.114448791,0,0.173620173,0.173620173,0,18.04085894,17.46242411,20.60222988,3.139805773,18.42151868,0.884178896,0,1.341309871,1.341309871,0,113.6457347,104.0550712,148.3572029,44.30213168,122.5455408,60.42399861,49.67524156,63.22389046,13.54864889,49.67524156,2.075658145,1.445440232,3.674263051,2.228822819,1.445440232,343.9424848,335.2579022,349.9657575,14.7078553,349.9657575,10.33748318,5.735182035,17.85268083,12.1174988,5.735182035,4.093111135,2.979538771,4.550005338,1.570466567,3.381262459,7.446431414,7.412687951,7.52850203,0.115814079,7.499927335,7.255023187,6.222584845,10.09848636,3.875901514,9.981540507,4.037729,2.979538771,4.468902275,1.489363504,3.26708975,7.025304677,6.993848034,7.105455613,0.111607579,7.077809305,6.572510563,6.222584845,7.607048434,1.38446359,7.607048434
