reaction,Catalyst,Solvent,Temperature (K),Nucleophile,Electrophile,ee (%),∆∆G‡ (kcal/mol),Nuc_HOMO,Nuc_LUMO,Nuc_Polarizability,Nuc_dipole,Nuc_NBO (X),Nuc_X-H bond length,Nuc_L(H-X-Large),Nuc_B1(H-X-Large),Nuc_B5(H-X-Large),Nuc_L(H-X-Small),Nuc_B1(H-X-Small),Nuc_B5(H-X-Small),Nuc_L(avg.),Nuc_B1(avg),Nuc_B5(avg),Elec_HOMO,Elec_LUMO,Elec_Polarizability,Elec_NBO (C),Elec_NBO(C+1),Elec_NBO (N),Elec_L(R1),Elec_B1(R1),Elec_B5(R1),Cat_HOMO,Cat_LUMO,Cat_Polarizability,Cat_NBO (NR2),Cat_NBO (C=X),Cat_NMR (C=X),Cat_v(N-H)-Achrial,Cat_i(N-H)-Achiral,Cat_v(N-H)-Chiral,Cat_i(N-H)-Chiral,Cat_NBO (N)-Achrial,Cat_NBO (H)-Achrial,Cat_NBO (N)-Chiral,Cat_NBO (H)-Chiral,Cat_L (N-Chiral),Cat_B1 (N-Chiral,Cat_B5 (N-Chiral),Cat_L (N-Achiral),Cat_B1 (N-Achiral),Cat_B5 (N-Achrial),Cat_MSA (Full),Solv_PEOE1
Rxn1,Thiourea-1,DCM,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,44,0.56,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27598,-0.0245,251.231,-0.46383,0.28078,217.0512,3596.72,15.1597,3436.9,306.9801,-0.58842,0.39484,-0.61293,0.41924,6.69,2,5.52,7.43,2.35,5.11,349.218,0
Rxn2,Thiourea-6,DCM,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,41,0.51,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27335,-0.0313,398.976,-0.45776,0.27572,216.0029,3596.56,16.2408,3437.01,368.9563,-0.58425,0.39598,-0.62359,0.42789,7.77,4.48,7.62,7.43,2.35,5.12,486.089,0
Rxn3,Squaramide-5,DCM,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,83,1.40,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,0
Rxn4,Squaramide-5,Toluene,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,67,0.95,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,0
Rxn5,Squaramide-5,THF,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,55,0.73,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,9.54
Rxn6,Squaramide-5,MeCN,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,64,0.89,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,13.772
Rxn7,Squaramide-5,CHCl3,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,79,1.26,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,0
Rxn8,Squaramide-5,DCM,273,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,81,1.22,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,0
Rxn9,Squaramide-5,DCM,253,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-Ph,80,1.10,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.31278,-0.07498,117.432,-0.11897,-0.12663,0.50321,6.84,1.7,3.35,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,0
Rxn10,Squaramide-5,DCM,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-2-thienyl,77,1.20,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.30202,-0.07832,114.402,-0.14233,-0.13285,0.50213,6.32,1.74,3.26,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,0
Rxn11,Squaramide-5,DCM,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,Nitroalkene-4-i-Pr Ph,83,1.40,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.30208,-0.071,160.544,-0.11504,-0.13172,0.50336,8.97,2.66,3.34,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,0
Rxn12,Squaramide-5,DCM,296,ethyl (E)-4-cyano-3-(trifluoromethyl)but-3-enoate,"Nitroalkene-3,4-OMe Ph",91,1.80,-0.43242,0.04919,104.627,3.056,-0.55559,1.09337,6.12,2.98,6.4,5.74,2.14,6.52,5.93,2.56,6.46,-0.27739,-0.06626,162.469,-0.10947,-0.14469,0.50312,8.88,1.98,5.33,-0.27381,-0.04606,433.915,-0.43782,0.11516,191.3628,3600.96,8.4379,3588.97,24.7035,-0.54327,0.3962,-0.54886,0.39216,6.56,4.31,8.28,7.47,2.44,5.13,509.186,0
